
股票名称,市净率,行业名称,行业市净率,个股行业市净率比,市盈率,行业市盈率,个股行业市盈率比,最新价格,市值,日期,行业最新价格,行业市值,yahoo目标均价,yahoo目标最高价,yahoo目标最低价,当前价格,yahoo预测上涨/下跌空间(%),融资买入额,融券卖出额,VIX指数,CNN恐慌与贪婪指数
鱼跃医疗,6.9795,医疗器械,5.2114,1.3393,15.82,56.1933,0.2815,37.44,35688403905.44,2025-09-01,32.88,1509181004640.77,47.83,58.85,43.0,37.96,26.0,69795.0,1582.0,14.43,64.0
影视ETF,4.8009,,,,,,,11.1,79121205.0,2025-09-01,,,,,,,,,,14.43,64.0
瑞普生物,7.3509,农药兽药,2.8231,2.6038,20.21,44.1303,0.458,22.42,7473002688.51,2025-09-01,11.55,353469238592.17,27.04,36.16,23.0,22.31,21.2,73509.0,2021.0,14.43,64.0
伊利股份,55.2561,食品饮料,6.0123,9.1905,12.42,40.8898,0.3037,28.57,177929393212.67,2025-09-01,20.47,1767076562657.85,,,,,,,,14.43,64.0
股票名称,市净率,行业名称,行业市净率,个股行业市净率比,市盈率,行业市盈率,个股行业市盈率比,最新价格,市值,日期,行业最新价格,行业市值,yahoo目标均价,yahoo目标最高价,yahoo目标最低价,当前价格,yahoo预测上涨/下跌空间(%),融资买入额,融券卖出额,VIX指数,CNN恐慌与贪婪指数
美亚光电,6.9096,专用设备,6.217,1.1114,28.88,84.8199,0.3405,20.26,8594478518.3,2025-09-02,15.96,2018662843081.14,18.12,21.0,15.0,19.82,-8.58,69096.0,2888.0,14.43,64.31
鱼跃医疗,5.0806,医疗器械,5.131,0.9902,15.55,55.0918,0.2823,37.96,35086702680.48,2025-09-02,32.33,1483848228997.51,47.83,58.85,43.0,37.32,28.16,50806.0,1555.0,14.43,64.31
影视ETF,8.6629,,,,,,,11.26,76310505.0,2025-09-02,,,,,,,,,,14.43,64.31
瑞普生物,5.484,农药兽药,2.7429,1.9993,19.61,43.015,0.4559,22.31,7251927754.65,2025-09-02,11.28,345359028293.02,27.04,36.16,23.0,21.65,24.9,54840.0,1961.0,14.43,64.31
伊利股份,36.2334,食品饮料,5.9149,6.1258,12.41,40.5181,0.3063,28.27,177866453915.46,2025-09-02,20.29,1751098513735.77,,,,,,,,14.43,64.31
股票名称,市净率,行业名称,行业市净率,个股行业市净率比,市盈率,行业市盈率,个股行业市盈率比,最新价格,市值,日期,行业最新价格,行业市值,yahoo目标均价,yahoo目标最高价,yahoo目标最低价,当前价格,yahoo预测上涨/下跌空间(%),融资买入额,融券卖出额,VIX指数,CNN恐慌与贪婪指数
美亚光电,8.74,专用设备,6.1318,1.4254,29.24,84.558,0.3458,19.82,8702885159.55,2025-09-03,15.67,1982368816845.21,18.12,21.0,15.0,20.07,-9.72,87400.0,2924.0,16.12,52.86
鱼跃医疗,4.2962,医疗器械,5.1703,0.8309,15.39,54.824,0.2807,37.32,34710639414.88,2025-09-03,32.14,1475315019175.97,47.83,58.85,43.0,36.92,29.55,42962.0,1539.0,16.12,52.86
影视ETF,5.3439,,,,,,,10.86,75959167.5,2025-09-03,,,,,,,,,,16.12,52.86
瑞普生物,3.5017,农药兽药,2.6868,1.3033,19.28,41.991,0.4591,21.65,7127991806.88,2025-09-03,11.04,337983217468.95,27.04,36.16,23.0,21.28,27.07,35017.0,1928.0,16.12,52.86
伊利股份,42.9469,食品饮料,5.7956,7.4103,12.26,39.4027,0.3111,28.26,175663578513.11,2025-09-03,19.89,1716423997608.63,,,,,,,,16.12,52.86
股票名称,市净率,行业名称,行业市净率,个股行业市净率比,市盈率,行业市盈率,个股行业市盈率比,最新价格,市值,日期,行业最新价格,行业市值,yahoo目标均价,yahoo目标最高价,yahoo目标最低价,当前价格,yahoo预测上涨/下跌空间(%),融资买入额,融券卖出额,VIX指数,CNN恐慌与贪婪指数
美亚光电,7.4039,专用设备,5.8186,1.2725,28.85,81.2918,0.3549,20.07,8585805987.0,2025-09-04,15.26,1929741629776.89,18.12,21.0,15.0,19.8,-8.48,74039.0,2885.0,17.17,51.83
